c'	PRO:DEM	ce
est	VER:pres	être
peine	NOM	peine
que	KON	que
commune	NOM	commune
appris	VER:pper	apprendre
dã	NOM	dã
©	VER:futu	©
cã	ADJ	cã
¨	NOM	¨
s	VER:subi	s
monique	ADJ	monique
barbier	NOM	barbier
,	PUN	,
ã	ADJ	ã
ã	ADJ	ã
¢	NOM	¢
ge	VER:subi	ge
74	NUM	@card@
ans	NOM	an
.	SENT	.
figure	VER:pres	figurer
bien	ADV	bien
connue	VER:pper	connaître
rue	NOM	rue
jean-jaurã	NOM	jean-jaurã
¨	ADJ	¨
s	VER:simp	s
oã	NOM	oã
¹	ADJ	¹
elle	PRO:PER	elle
habitait	VER:impf	habiter
jacques	NOM	jacque|jacques
,	PUN	,
ã	NOM	ã
©	VER:futu	©
poux	NOM	pou
,	PUN	,
elle	PRO:PER	elle
ã	VER:cond	ã
©	VER:pper	©
tait	VER:pres	taire
nã	NOM	nã
©	VER:subi	©
e	VER:pper	e
dugny	NAM	dugny
,	PUN	,
28	NUM	@card@
avril	NOM	avril
1927	NUM	@card@
ã	NOM	ã
andernay	NOM	andernay
.	SENT	.
elle	PRO:PER	elle
ã	VER:cond	ã
©	VER:pper	©
tait	VER:pres	taire
quatriã	NOM	quatriã
¨	ADJ	¨
me	PRO:PER	me
enfant	NOM	enfant
,	PUN	,
et	KON	et
seule	ADJ	seul
fille	NOM	fille
,	PUN	,
famille	NOM	famille
six	NUM	six
-	PUN	-
deux	NUM	deux
frã	ADJ	frã
¨	NOM	¨
res	ADJ	res
sont	VER:pres	être
dã	NOM	dã
©	VER:subi	©
cã	NOM	cã
©	VER:subi	©
dã	NOM	dã
©	VER:subi	©
s	VER:pper	s
accidentellement	ADV	accidentellement
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
quelques	PRO:IND	quelque
annã	NOM	annã
©	ADJ	©
es	VER:pres	être
.	SENT	.
parents	NOM	parent|parents
exerã	VER:simp	exerã
§	NOM	§
aient	VER:subp	avoir
mã	NOM	mã
©	VER:futu	©
tier	VER:pper	tier
agriculteurs	NOM	agriculteur
.	SENT	.
monique	ADJ	monique
,	PUN	,
qui	PRO:REL	qui
avait	VER:impf	avoir
obtenu	VER:pper	obtenir
diplã	NOM	diplã
´	ADJ	´
me	PRO:PER	me
couturiã	ADJ	couturiã
¨	NOM	¨
re	VER:subi	re
aprã	NOM	aprã
¨	ADJ	¨
s	VER:simp	s
stage	NOM	stage
au	PRP:det	au
lendemain	NOM	lendemain
guerre	NOM	guerre
,	PUN	,
a	VER:pres	avoir
travaillã	NOM	travaillã
©	VER:subi	©
ã	NOM	ã
ferme	ADV	ferme
familiale	ADJ	familial
jusqu'ã	NOM	jusqu'ã
mariage	NOM	mariage
30	NUM	@card@
avril	NOM	avril
1953	NUM	@card@
jacques	NOM	jacque|jacques
barbier	NOM	barbier
,	PUN	,
jeune	ADJ	jeune
vassincourtois	NOM	vassincourtois
,	PUN	,
monteur	NOM	monteur
chauffage	NOM	chauffage
entreprise	NOM	entreprise
locale	ADJ	local
.	SENT	.
ils	PRO:PER	il
auront	VER:futu	avoir
bonheur	NOM	bonheur
avoir	VER:infi	avoir
trois	NUM	trois
enfants	NOM	enfant
et	KON	et
six	NUM	six
petits-enfants	NOM	petits-enfants
.	SENT	.
outre	ADV	outre
occupation	NOM	occupation
